block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3754105,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
3754121,1241.95867613,0.00000000,1241.95867613,1242.95867613,1,1241.95867613
3754151,0.10000000,0.00499250,0.09500750,1243.05368363,3,0.10000000
3754154,0.00000000,0.10102041,-0.10102041,1242.95266322,3,0.10102041
3754157,0.10000000,0.00499250,0.09500750,1243.04767072,3,0.10000000
3754162,0.00000000,0.00000000,-0.00000000,1243.04767072,3,0.00000000
3754181,0.10000000,0.00499250,0.09500750,1243.14267822,3,0.10000000
3754185,0.00000000,0.19800000,-0.19800000,1242.94467822,3,0.19800000
3754276,0.10000000,0.00499250,0.09500750,1243.03968572,4,0.10000000
3754287,0.10000000,0.33499250,-0.23499250,1242.80469322,4,0.33000000
3754290,0.00000000,0.00000000,-0.00000000,1242.80469322,4,0.00000000
3754338,0.20000000,0.00499250,0.19500750,1242.99970072,4,0.20000000
3754343,0.00000000,0.00000000,-0.00000000,1242.99970072,4,0.00000000
3754486,0.10000000,0.00499250,0.09500750,1243.09470822,5,0.10000000
3754490,0.00000000,0.12375000,-0.12375000,1242.97095822,5,0.12375000
3754499,0.10000000,0.00499250,0.09500750,1243.06596572,6,0.10000000
3754502,0.00000000,0.00000000,-0.00000000,1243.06596572,6,0.00000000
3754557,0.10000000,0.00499250,0.09500750,1243.16097322,7,0.10000000
3754562,0.00000000,0.19800000,-0.19800000,1242.96297322,7,0.19800000
3754619,0.10000000,0.00499250,0.09500750,1243.05798072,8,0.10000000
3754636,0.50000000,0.00499250,0.49500750,1243.55298822,8,0.50000000
3754674,0.00000000,0.00000000,-0.00000000,1243.55298822,8,0.00000000
3754691,0.20000000,0.00499250,0.19500750,1243.74799572,9,0.20000000
3754694,0.00000000,0.21758242,-0.21758242,1243.53041331,9,0.21758242
3754699,0.30000000,0.00499250,0.29500750,1243.82542081,9,0.30000000
3754701,0.00000000,0.32637363,-0.32637363,1243.49904718,9,0.32637363
3754768,0.10000000,0.00499250,0.09500750,1243.59405468,10,0.10000000
3754771,0.00000000,0.19800000,-0.19800000,1243.39605468,10,0.19800000
3754793,0.10000000,0.00499250,0.09500750,1243.49106218,10,0.10000000
3754796,0.10000000,0.20299250,-0.10299250,1243.38806968,11,0.19800000
3754799,0.00000000,0.00000000,-0.00000000,1243.38806968,11,0.00000000
3754801,1.00000000,0.00499250,0.99500750,1244.38307718,11,1.00000000
3754804,0.00000000,0.00000000,-0.00000000,1244.38307718,11,0.00000000
3754823,0.10000000,0.00499250,0.09500750,1244.47808468,11,0.10000000
3754826,0.00000000,0.19800000,-0.19800000,1244.28008468,11,0.19800000
3754861,0.10000000,0.00499250,0.09500750,1244.37509218,11,0.10000000
3754866,0.00000000,0.19800000,-0.19800000,1244.17709218,11,0.19800000
3754878,0.10000000,0.00499250,0.09500750,1244.27209968,12,0.10000000
3754880,0.00000000,0.19800000,-0.19800000,1244.07409968,12,0.19800000
3754913,0.50000000,0.00499250,0.49500750,1244.56910718,12,0.50000000
3754916,0.00000000,0.99000000,-0.99000000,1243.57910718,12,0.99000000
3754925,0.00000000,0.99000000,-0.99000000,1242.58910718,12,0.99000000
3754926,0.10000000,0.00499250,0.09500750,1242.68411468,13,0.10000000
3754930,0.50000000,0.00499250,0.49500750,1243.17912218,13,0.50000000
3754931,0.00000000,0.19800000,-0.19800000,1242.98112218,13,0.19800000
3754936,0.00000000,0.99000000,-0.99000000,1241.99112218,13,0.99000000
3754945,0.10000000,0.00499250,0.09500750,1242.08612968,13,0.10000000
3754949,0.00000000,0.19800000,-0.19800000,1241.88812968,13,0.19800000
3754979,0.10000000,0.00499250,0.09500750,1241.98313718,14,0.10000000
3754983,0.00000000,0.12222222,-0.12222222,1241.86091496,14,0.12222222
3754989,0.10000000,0.00499250,0.09500750,1241.95592246,14,0.10000000
3754994,0.00000000,0.00000000,-0.00000000,1241.95592246,14,0.00000000
3754995,0.10000000,0.00499250,0.09500750,1242.05092996,14,0.10000000
3754997,0.00000000,0.00000000,-0.00000000,1242.05092996,14,0.00000000
3755000,0.10000000,0.00499250,0.09500750,1242.14593746,14,0.10000000
3755003,0.00000000,0.13026316,-0.13026316,1242.01567430,14,0.13026316
3755010,0.50000000,0.00499250,0.49500750,1242.51068180,14,0.50000000
3755012,0.00000000,0.00000000,-0.00000000,1242.51068180,14,0.00000000
3755018,0.10000000,0.00499250,0.09500750,1242.60568930,15,0.10000000
3755020,0.00000000,0.19800000,-0.19800000,1242.40768930,15,0.19800000
3755025,0.16000000,0.00499250,0.15500750,1242.56269680,16,0.16000000
3755028,0.00000000,0.37714286,-0.37714286,1242.18555394,16,0.37714286
3755034,1.00000000,0.00499250,0.99500750,1243.18056144,16,1.00000000
3755038,0.00000000,1.01020408,-1.01020408,1242.17035736,16,1.01020408
3755052,0.93000000,0.00499250,0.92500750,1243.09536486,16,0.93000000
3755054,0.00000000,0.00000000,-0.00000000,1243.09536486,16,0.00000000
3755056,0.50000000,0.00499250,0.49500750,1243.59037236,16,0.50000000
3755060,0.00000000,0.66000000,-0.66000000,1242.93037236,16,0.66000000
3755078,0.50000000,0.00499250,0.49500750,1243.42537986,16,0.50000000
3755085,0.00000000,0.00000000,-0.00000000,1243.42537986,16,0.00000000
3755099,1.00000000,0.00499250,0.99500750,1244.42038736,16,1.00000000
3755102,0.00000000,0.00000000,-0.00000000,1244.42038736,16,0.00000000
3755109,0.60000000,0.00998500,0.59001500,1245.01040236,17,0.50000000
3755111,0.00000000,0.20204082,-0.20204082,1244.80836154,17,0.20204082
3755142,0.10000000,0.00499250,0.09500750,1244.90336904,17,0.10000000
3755145,0.00000000,0.00000000,-0.00000000,1244.90336904,17,0.00000000
3755149,0.50000000,0.00499250,0.49500750,1245.39837654,17,0.50000000
3755151,0.00000000,0.99000000,-0.99000000,1244.40837654,17,0.99000000
3755156,1.00000000,0.00499250,0.99500750,1245.40338404,18,1.00000000
3755160,0.00000000,1.13793103,-1.13793103,1244.26545301,18,1.13793103
3755166,1.10000000,0.96190808,0.13809192,1244.40354493,18,1.00000000
3755169,0.00000000,1.13793103,-1.13793103,1243.26561390,18,1.13793103
3755171,1.00000000,0.00499250,0.99500750,1244.26062140,18,1.00000000
3755174,0.50000000,1.14292353,-0.64292353,1243.61769786,18,1.13793103
3755175,0.25000000,0.00499250,0.24500750,1243.86270536,18,0.25000000
3755177,0.00000000,0.27500000,-0.27500000,1243.58770536,18,0.27500000
3755181,1.00000000,0.00499250,0.99500750,1244.58271286,18,1.00000000
3755185,0.25000000,1.14292353,-0.89292353,1243.68978933,18,1.13793103
3755187,0.00000000,0.27500000,-0.27500000,1243.41478933,18,0.27500000
3755191,1.00000000,0.00499250,0.99500750,1244.40979683,18,1.00000000
3755195,0.00000000,1.13793103,-1.13793103,1243.27186579,18,1.13793103
3755197,0.50000000,0.00499250,0.49500750,1243.76687329,18,0.50000000
3755199,0.35000000,1.08607196,-0.73607196,1243.03080134,19,1.07608696
3755201,0.00000000,0.27500000,-0.27500000,1242.75580134,19,0.27500000
3755205,1.00000000,0.00499250,0.99500750,1243.75080884,19,1.00000000
3755208,0.00000000,1.98000000,-1.98000000,1241.77080884,19,1.98000000
3755215,1.00000000,0.00499250,0.99500750,1242.76581634,19,1.00000000
3755218,0.00000000,0.00000000,-0.00000000,1242.76581634,19,0.00000000
3755219,1.00000000,0.00499250,0.99500750,1243.76082384,20,1.00000000
3755222,0.00000000,0.00000000,-0.00000000,1243.76082384,20,0.00000000
3755223,1.00000000,0.00499250,0.99500750,1244.75583134,20,1.00000000
3755224,0.50000000,0.00499250,0.49500750,1245.25083884,20,0.50000000
3755225,0.00000000,0.00000000,-0.00000000,1245.25083884,20,0.00000000
3755228,0.00000000,1.03125000,-1.03125000,1244.21958884,20,1.03125000
3755235,0.50000000,0.00499250,0.49500750,1244.71459634,20,0.50000000
3755238,0.00000000,0.00000000,-0.00000000,1244.71459634,20,0.00000000
3755242,1.30000000,0.00998500,1.29001500,1246.00461134,20,1.00000000
3755246,0.00000000,1.13793103,-1.13793103,1244.86668030,20,1.13793103
3755247,0.50000000,0.00499250,0.49500750,1245.36168780,20,0.50000000
3755250,0.00000000,0.00000000,-0.00000000,1245.36168780,20,0.00000000
3755253,2.70000000,0.01497750,2.68502250,1248.04671030,20,1.00000000
3755255,0.00000000,0.00000000,-0.00000000,1248.04671030,20,0.00000000
3755257,0.00000000,0.19800000,-0.19800000,1247.84871030,20,0.19800000
3755272,0.50000000,0.00499250,0.49500750,1248.34371780,20,0.50000000
3755276,0.00000000,0.00000000,-0.00000000,1248.34371780,20,0.00000000
3755310,0.10000000,0.00499250,0.09500750,1248.43872530,21,0.10000000
3755314,0.00000000,0.16500000,-0.16500000,1248.27372530,21,0.16500000
3755316,0.00000000,1.30263158,-1.30263158,1246.97109373,21,1.30263158
3755318,0.00000000,0.59400000,-0.59400000,1246.37709373,21,0.59400000
3755319,0.10000000,0.00499250,0.09500750,1246.47210123,21,0.10000000
3755323,1.96500000,0.00998500,1.95501500,1248.42711623,22,1.00000000
3755326,0.00000000,0.00000000,-0.00000000,1248.42711623,22,0.00000000
3755330,1.00000000,0.00499250,0.99500750,1249.42212373,22,1.00000000
3755333,0.00000000,0.00000000,-0.00000000,1249.42212373,22,0.00000000
3755336,2.96000000,0.00499250,2.95500750,1252.37713123,22,2.96000000
3755339,0.00000000,5.74588235,-5.74588235,1246.63124887,22,5.74588235
3755349,0.10000000,0.00499250,0.09500750,1246.72625637,23,0.10000000
3755355,0.00000000,0.11123596,-0.11123596,1246.61502042,23,0.11123596
3755371,0.00000000,1.05319149,-1.05319149,1245.56182893,23,1.05319149
3755382,1.00000000,0.00499250,0.99500750,1246.55683643,23,1.00000000
3755385,0.00000000,1.00000000,-1.00000000,1245.55683643,23,1.00000000
3755394,0.27000000,0.00499250,0.26500750,1245.82184393,23,0.27000000
3755397,0.00000000,0.52411765,-0.52411765,1245.29772628,23,0.52411765
3755402,0.15000000,0.00499250,0.14500750,1245.44273378,24,0.15000000
3755404,0.00000000,0.24750000,-0.24750000,1245.19523378,24,0.24750000
3755433,1.30000000,0.00499250,1.29500750,1246.49024128,24,1.30000000
3755434,0.20000000,0.00499250,0.19500750,1246.68524878,24,0.20000000
3755437,0.00000000,1.47931034,-1.47931034,1245.20593844,24,1.47931034
3755452,0.10000000,0.00499250,0.09500750,1245.30094594,25,0.10000000
3755454,0.00000000,0.14142857,-0.14142857,1245.15951736,25,0.14142857
3755463,1.00000000,0.00499250,0.99500750,1246.15452486,25,1.00000000
3755466,0.00000000,1.05319149,-1.05319149,1245.10133338,25,1.05319149
3755487,0.17000000,0.00499250,0.16500750,1245.26634088,25,0.17000000
3755489,0.33000000,0.00499250,0.32500750,1245.59134838,26,0.33000000
3755493,0.00000000,0.66303243,-0.66303243,1244.92831594,26,0.43560000
3755511,0.18000000,0.00499250,0.17500750,1245.10332344,26,0.18000000
3755516,0.00000000,0.24081081,-0.24081081,1244.86251263,26,0.24081081
3755531,1.00000000,0.00499250,0.99500750,1245.85752013,26,1.00000000
3755533,0.00000000,1.05319149,-1.05319149,1244.80432864,26,1.05319149
3755560,0.10000000,0.00499250,0.09500750,1244.89933614,27,0.10000000
3755563,0.00000000,0.12531646,-0.12531646,1244.77401969,27,0.12531646
3755569,1.00000000,0.00499250,0.99500750,1245.76902719,28,1.00000000
3755572,0.00000000,1.98000000,-1.98000000,1243.78902719,28,1.98000000
3755583,1.00000000,0.00499250,0.99500750,1244.78403469,28,1.00000000
3755586,0.00000000,1.98000000,-1.98000000,1242.80403469,28,1.98000000
3755589,1.00000000,0.00499250,0.99500750,1243.79904219,28,1.00000000
3755593,0.00000000,1.98000000,-1.98000000,1241.81904219,28,1.98000000
3755599,2.00000000,0.00998500,1.99001500,1243.80905719,28,1.00000000
3755601,0.00000000,1.98000000,-1.98000000,1241.82905719,28,1.98000000
3755607,1.00000000,0.00499250,0.99500750,1242.82406469,28,1.00000000
3755611,0.00000000,1.98000000,-1.98000000,1240.84406469,28,1.98000000
3755614,1.00000000,0.00499250,0.99500750,1241.83907219,28,1.00000000
3755619,0.00000000,0.00000000,-0.00000000,1241.83907219,28,0.00000000
3755621,1.00000000,0.00499250,0.99500750,1242.83407969,28,1.00000000
3755623,0.00000000,0.00000000,-0.00000000,1242.83407969,28,0.00000000
3755628,0.14000000,0.00499250,0.13500750,1242.96908719,28,0.14000000
3755632,0.00000000,0.18236842,-0.18236842,1242.78671877,28,0.18236842
3755643,0.17600000,0.00499250,0.17100750,1242.95772627,28,0.17600000
3755646,0.00000000,1.05319149,-1.05319149,1241.90453478,28,1.05319149
3755649,1.00000000,0.00499250,0.99500750,1242.89954228,28,1.00000000
3755654,0.00000000,1.05319149,-1.05319149,1241.84635079,28,1.05319149
3755662,1.00000000,0.00499250,0.99500750,1242.84135829,28,1.00000000
3755665,0.00000000,1.05319149,-1.05319149,1241.78816680,28,1.05319149
3755689,0.00000000,0.21780000,-0.21780000,1241.57036680,28,0.21780000
3755693,1.00000000,0.00499250,0.99500750,1242.56537430,28,1.00000000
3755695,0.00000000,1.05319149,-1.05319149,1241.51218281,28,1.05319149
3755698,0.20000000,0.00499250,0.19500750,1241.70719031,28,0.20000000
3755699,1.00000000,0.00499250,0.99500750,1242.70219781,28,1.00000000
3755702,0.00000000,1.05319149,-1.05319149,1241.64900632,28,1.05319149
3755705,1.00000000,0.00499250,0.99500750,1242.64401382,28,1.00000000
3755707,0.00000000,1.05319149,-1.05319149,1241.59082233,28,1.05319149
3755748,0.10000000,0.00499250,0.09500750,1241.68582983,29,0.10000000
3755750,0.00000000,0.00000000,-0.00000000,1241.68582983,29,0.00000000
3755760,0.00000000,0.23023256,-0.23023256,1241.45559727,29,0.23023256
3755770,0.23000000,0.00499250,0.22500750,1241.68060477,29,0.23000000
3755775,0.00000000,0.25584270,-0.25584270,1241.42476207,29,0.25584270
3755780,0.26000000,0.00499250,0.25500750,1241.67976957,29,0.26000000
3755785,0.00000000,0.27677419,-0.27677419,1241.40299538,29,0.27677419
3755789,0.27000000,0.00499250,0.26500750,1241.66800288,29,0.27000000
3755792,0.00000000,0.00000000,-0.00000000,1241.66800288,29,0.00000000
3755845,1.00000000,0.00499250,0.99500750,1242.66301038,29,1.00000000
3755913,0.25000000,0.00499250,0.24500750,1242.90801788,30,0.25000000
3755915,0.00000000,0.00000000,-0.00000000,1242.90801788,30,0.00000000
3755928,0.00000000,1.13793103,-1.13793103,1241.77008685,30,1.13793103
3755939,1.00000000,0.00499250,0.99500750,1242.76509435,30,1.00000000
3755942,0.00000000,1.07608696,-1.07608696,1241.68900739,30,1.07608696
3755947,0.10000000,0.00499250,0.09500750,1241.78401489,31,0.10000000
3755951,0.00000000,0.00000000,-0.00000000,1241.78401489,31,0.00000000
3755969,0.20000000,0.00499250,0.19500750,1241.97902239,31,0.20000000
3755971,0.00000000,0.00000000,-0.00000000,1241.97902239,31,0.00000000
3755975,0.10000000,0.00499250,0.09500750,1242.07402989,32,0.10000000
3755984,0.00000000,0.00000000,-0.00000000,1242.07402989,32,0.00000000
3756024,0.40000000,0.00499250,0.39500750,1242.46903739,32,0.40000000
3756028,0.00000000,0.00000000,-0.00000000,1242.46903739,32,0.00000000
3756034,1.00000000,0.00499250,0.99500750,1243.46404489,32,1.00000000
3756037,0.00000000,2.41463415,-2.41463415,1241.04941074,32,2.41463415
3756043,0.10000000,0.00499250,0.09500750,1241.14441824,32,0.10000000
3756046,0.00000000,0.19800000,-0.19800000,1240.94641824,32,0.19800000
3756058,1.10000000,0.00998500,1.09001500,1242.03643324,32,1.00000000
3756059,1.00000000,0.00499250,0.99500750,1243.03144074,32,1.00000000
3756061,0.00000000,0.00000000,-0.00000000,1243.03144074,32,0.00000000
3756065,0.10000000,0.00499250,0.09500750,1243.12644824,32,0.10000000
3756069,0.10000000,0.20299250,-0.10299250,1243.02345574,33,0.19800000
3756072,2.00000000,0.30499250,1.69500750,1244.71846324,33,2.00000000
3756074,0.00000000,4.12500000,-4.12500000,1240.59346324,33,4.12500000
3756078,0.10000000,0.00499250,0.09500750,1240.68847074,33,0.10000000
3756079,0.20000000,0.00499250,0.19500750,1240.88347824,33,0.20000000
3756081,0.10000000,0.23257871,-0.13257871,1240.75089954,33,0.22758621
3756085,0.00000000,0.00000000,-0.00000000,1240.75089954,33,0.00000000
3756087,0.10000000,0.00499250,0.09500750,1240.84590704,33,0.10000000
3756089,0.10000000,0.00499250,0.09500750,1240.94091454,33,0.10000000
